nom_poblacio;comarca;altitud;poblacio
Móra la Nova;Ribera d'Ebre;31;3198
Morell, el;Tarragonès;104;3803
Morera de Montsant, la;Priorat;743;160
Muntanyola;Osona;807;700
Mura;Bages;454;232
Nalec;Urgell;487;95
Naut Aran;Val d'Aran;1267;1923
Navarcles;Bages;269;6067
Navàs;Bages;370;6018
Navata;Alt Empordà;145;1465
Navès;Solsonès;610;305
Nou de Berguedà, la;Berguedà;876;179
Nou de Gaià, la;Tarragonès;93;636
Nulles;Alt Camp;231;541
Odèn;Solsonès;1130;252
Òdena;Anoia;421;3728
Ogassa;Ripollès;951;222
Olèrdola;Alt Penedès;189;3884
Olesa de Bonesvalls;Alt Penedès;265;2016
Olesa de Montserrat;Baix Llobregat;124;24272
Oliana;Alt Urgell;469;1849
Oliola;Noguera;452;196
Olius;Solsonès;742;985
Olivella;Garraf;211;4339
Olost;Osona;572;1206
Olot;Garrotxa;443;36716
Oluges, les;Segarra;528;166
Olvan;Berguedà;553;876
Omellons, els;Garrigues;385;198
Omells de na Gaia, els;Urgell;560;127
Ordis;Alt Empordà;98;373
Organyà;Alt Urgell;558;796
Orís;Osona;576;347
Oristà;Osona;468;573
Orpí;Anoia;375;159
Òrrius;Maresme;259;793
Os de Balaguer;Noguera;463;1046
Osor;Selva;340;423
Ossó de Sió;Urgell;391;193
Pacs del Penedès;Alt Penedès;201;935
Palafolls;Maresme;16;9661
Palafrugell;Baix Empordà;64;23396
Palamós;Baix Empordà;12;18145
Palau d'Anglesola, el;Pla d'Urgell;250;2191
Palau de Santa Eulàlia;Alt Empordà;86;115
Palau-sator;Baix Empordà;20;327
Palau-saverdera;Alt Empordà;78;1472
Palau-solità i Plegamans;Vallès Occidental;130;14911
Pallaresos, els;Tarragonès;120;4930
Pallejà;Baix Llobregat;41;11593
Palma d'Ebre, la;Ribera d'Ebre;335;341
Palma de Cervelló, la;Baix Llobregat;100;3026
Palol de Revardit;Pla de l'Estany;152;457
Pals;Baix Empordà;55;2548
Papiol, el;Baix Llobregat;135;4274
Pardines;Ripollès;1226;165
Parets del Vallès;Vallès Oriental;98;18889
Parlavà;Baix Empordà;40;415
